0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:24:28 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4995
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:25:20 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 3631
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:25:54 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:26:32 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:31:00 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4999
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:31:05 -0300] "GET /aluguel/ HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:31:07 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4999
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:32:03 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4999
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:08:19 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:14:01 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4999
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:15:22 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:16:24 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:16:25 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:16:25 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:17:37 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:17:59 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:18:12 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 3743
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:18:24 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 3735
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:18:44 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:18:58 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:18:59 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:22:15 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:22:29 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:22:50 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:23:15 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:23:54 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2003
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:24:17 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:24:26 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2036
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:25:06 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2038
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:25:08 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2038
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:25:08 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:25:16 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:26:23 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 7053
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:27:26 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1980
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:29:42 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:30:00 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:30:30 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:30:44 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2722
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:31:06 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:31:09 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:31:10 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:31:28 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:31:43 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:32:44 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3209
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:32:56 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:34:55 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3236
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:38:30 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3234
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:38:46 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:40:17 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3355
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:40:33 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:40:35 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3355
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:40:35 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:40:43 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3358
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:41:16 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3377
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:41:34 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:44:27 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3341
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:44:30 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:44:37 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3341
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:44:38 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:44:38 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:45:12 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:46:15 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3343
